,ID,taxon,variable,value,a1,a2,a3,a4,type,HSI
89,R4/6,Baetidae,Temperature,27.96,21.482,24.805,27.01,29.478,acute,0.615072933549
90,R5/6,Baetidae,Temperature,27.67,21.482,24.805,27.01,29.478,acute,0.732576985413
91,R6/6,Baetidae,Temperature,27.86,21.482,24.805,27.01,29.478,acute,0.655591572123
92,R7/6,Baetidae,Temperature,27.92,21.482,24.805,27.01,29.478,acute,0.631280388979
93,R8/6,Baetidae,Temperature,27.93,21.482,24.805,27.01,29.478,acute,0.627228525122
94,R9/6,Baetidae,Temperature,28.36,21.482,24.805,27.01,29.478,acute,0.452998379254
95,US1/10,Baetidae,Temperature,23.38,21.482,24.805,27.01,29.478,acute,0.57117062895
96,US10/10,Baetidae,Temperature,25.0,21.482,24.805,27.01,29.478,acute,1.0
97,US11/11,Baetidae,Temperature,23.51,21.482,24.805,27.01,29.478,acute,0.610291904905
98,US12/11,Baetidae,Temperature,23.68,21.482,24.805,27.01,29.478,acute,0.661450496539
99,US13/11,Baetidae,Temperature,22.94,21.482,24.805,27.01,29.478,acute,0.438760156485
100,US14/11,Baetidae,Temperature,24.73,21.482,24.805,27.01,29.478,acute,0.977430033103
101,US15/11,Baetidae,Temperature,26.69,21.482,24.805,27.01,29.478,acute,1.0
102,US16/11,Baetidae,Temperature,25.05,21.482,24.805,27.01,29.478,acute,1.0
103,US17/11,Baetidae,Temperature,25.11,21.482,24.805,27.01,29.478,acute,1.0
104,US2/10,Baetidae,Temperature,24.22,21.482,24.805,27.01,29.478,acute,0.8239542582
105,US3/10,Baetidae,Temperature,22.62,21.482,24.805,27.01,29.478,acute,0.342461631056
106,US4/10,Baetidae,Temperature,23.73,21.482,24.805,27.01,29.478,acute,0.676497141138
107,US5/10,Baetidae,Temperature,24.23,21.482,24.805,27.01,29.478,acute,0.82696358712
108,US6/10,Baetidae,Temperature,24.2,21.482,24.805,27.01,29.478,acute,0.817935600361
109,US7/10,Baetidae,Temperature,25.03,21.482,24.805,27.01,29.478,acute,1.0
110,US8/10,Baetidae,Temperature,25.35,21.482,24.805,27.01,29.478,acute,1.0
111,US9/10,Baetidae,Temperature,25.0,21.482,24.805,27.01,29.478,acute,1.0
112,V1/19,Baetidae,Temperature,25.46,21.482,24.805,27.01,29.478,acute,1.0
113,V2/19,Baetidae,Temperature,23.86,21.482,24.805,27.01,29.478,acute,0.715618417093
114,V3/19,Baetidae,Temperature,23.91,21.482,24.805,27.01,29.478,acute,0.730665061691
115,V4/19,Baetidae,Temperature,25.48,21.482,24.805,27.01,29.478,acute,1.0
116,V5/19,Baetidae,Temperature,24.25,21.482,24.805,27.01,29.478,acute,0.832982244959
117,V6/19,Baetidae,Temperature,28.1,21.482,24.805,27.01,29.478,acute,0.558346839546
118,V7/19,Baetidae,Temperature,25.04,21.482,24.805,27.01,29.478,acute,1.0
119,V8/19,Baetidae,Temperature,26.93,21.482,24.805,27.01,29.478,acute,1.0
120,BB1/9,Baetidae,Conductivity,142.0,71.0,80.65,208.0,526.43,acute,1.0
121,BB2/9,Baetidae,Conductivity,103.0,71.0,80.65,208.0,526.43,acute,1.0
122,BB3/9,Baetidae,Conductivity,99.0,71.0,80.65,208.0,526.43,acute,1.0
123,BB4/9,Baetidae,Conductivity,82.0,71.0,80.65,208.0,526.43,acute,1.0
124,BH1/17,Baetidae,Conductivity,939.25,71.0,80.65,208.0,526.43,acute,0.0
125,BH2/17,Baetidae,Conductivity,540.75,71.0,80.65,208.0,526.43,acute,0.0
126,BH3/17,Baetidae,Conductivity,325.0,71.0,80.65,208.0,526.43,acute,0.632572307886
127,BH4/17,Baetidae,Conductivity,166.0,71.0,80.65,208.0,526.43,acute,1.0
128,BH5/17,Baetidae,Conductivity,139.33,71.0,80.65,208.0,526.43,acute,1.0
129,BH6/26,Baetidae,Conductivity,187.0,71.0,80.65,208.0,526.43,acute,1.0
130,C1/20,Baetidae,Conductivity,148.0,71.0,80.65,208.0,526.43,acute,1.0
131,C2/20,Baetidae,Conductivity,102.0,71.0,80.65,208.0,526.43,acute,1.0
132,C3/20,Baetidae,Conductivity,79.0,71.0,80.65,208.0,526.43,acute,0.829015544041
133,C4/20,Baetidae,Conductivity,126.0,71.0,80.65,208.0,526.43,acute,1.0
134,C5/20,Baetidae,Conductivity,67.0,71.0,80.65,208.0,526.43,acute,0.0
135,C6/20,Baetidae,Conductivity,105.0,71.0,80.65,208.0,526.43,acute,1.0
136,C7/20,Baetidae,Conductivity,128.0,71.0,80.65,208.0,526.43,acute,1.0
137,DPR4,Baetidae,Conductivity,105.0,71.0,80.65,208.0,526.43,acute,1.0
138,DPR5,Baetidae,Conductivity,89.0,71.0,80.65,208.0,526.43,acute,1.0
139,DS1/4,Baetidae,Conductivity,157.0,71.0,80.65,208.0,526.43,acute,1.0
140,DS1/5,Baetidae,Conductivity,83.0,71.0,80.65,208.0,526.43,acute,1.0
141,DS10/23,Baetidae,Conductivity,755.67,71.0,80.65,208.0,526.43,acute,0.0
142,DS11/23,Baetidae,Conductivity,688.0,71.0,80.65,208.0,526.43,acute,0.0
143,DS12/23,Baetidae,Conductivity,537.8,71.0,80.65,208.0,526.43,acute,0.0
144,DS13/23,Baetidae,Conductivity,504.0,71.0,80.65,208.0,526.43,acute,0.0704393430267
145,DS14/24,Baetidae,Conductivity,297.0,71.0,80.65,208.0,526.43,acute,0.720503721383
146,DS15/24,Baetidae,Conductivity,334.5,71.0,80.65,208.0,526.43,acute,0.602738435449
147,DS16/24,Baetidae,Conductivity,276.0,71.0,80.65,208.0,526.43,acute,0.786452281506
148,DS17/24,Baetidae,Conductivity,255.0,71.0,80.65,208.0,526.43,acute,0.852400841629
149,DS18/24,Baetidae,Conductivity,195.0,71.0,80.65,208.0,526.43,acute,1.0
150,DS19/24,Baetidae,Conductivity,208.0,71.0,80.65,208.0,526.43,acute,1.0
151,DS2/4,Baetidae,Conductivity,99.0,71.0,80.65,208.0,526.43,acute,1.0
152,DS2/5,Baetidae,Conductivity,83.0,71.0,80.65,208.0,526.43,acute,1.0
153,DS20/24,Baetidae,Conductivity,290.75,71.0,80.65,208.0,526.43,acute,0.740131269039
154,DS21/24,Baetidae,Conductivity,163.0,71.0,80.65,208.0,526.43,acute,1.0
155,DS22/25,Baetidae,Conductivity,378.0,71.0,80.65,208.0,526.43,acute,0.466130703765
156,DS23/25,Baetidae,Conductivity,303.0,71.0,80.65,208.0,526.43,acute,0.701661275634
157,DS24/25,Baetidae,Conductivity,273.2,71.0,80.65,208.0,526.43,acute,0.795245422856
158,DS25/25,Baetidae,Conductivity,188.17,71.0,80.65,208.0,526.43,acute,1.0
159,DS26/25,Baetidae,Conductivity,178.0,71.0,80.65,208.0,526.43,acute,1.0
160,DS27/25,Baetidae,Conductivity,208.0,71.0,80.65,208.0,526.43,acute,1.0
161,DS28/25,Baetidae,Conductivity,103.33,71.0,80.65,208.0,526.43,acute,1.0
162,DS29/26,Baetidae,Conductivity,272.0,71.0,80.65,208.0,526.43,acute,0.799013912006
163,DS3/4,Baetidae,Conductivity,125.0,71.0,80.65,208.0,526.43,acute,1.0
164,DS3/5,Baetidae,Conductivity,98.0,71.0,80.65,208.0,526.43,acute,1.0
165,DS30/26,Baetidae,Conductivity,136.25,71.0,80.65,208.0,526.43,acute,1.0
166,DS31/26,Baetidae,Conductivity,326.0,71.0,80.65,208.0,526.43,acute,0.629431900261
167,DS32/26,Baetidae,Conductivity,332.0,71.0,80.65,208.0,526.43,acute,0.610589454511
168,DS33/26,Baetidae,Conductivity,462.0,71.0,80.65,208.0,526.43,acute,0.202336463273
169,DS4/4,Baetidae,Conductivity,94.0,71.0,80.65,208.0,526.43,acute,1.0
170,DS4/5,Baetidae,Conductivity,375.0,71.0,80.65,208.0,526.43,acute,0.47555192664
171,DS5/4,Baetidae,Conductivity,129.0,71.0,80.65,208.0,526.43,acute,1.0
172,DS5/5,Baetidae,Conductivity,256.0,71.0,80.65,208.0,526.43,acute,0.849260434004
173,DS6/4,Baetidae,Conductivity,749.25,71.0,80.65,208.0,526.43,acute,0.0
174,DS6/5,Baetidae,Conductivity,183.2,71.0,80.65,208.0,526.43,acute,1.0
175,DS7/23,Baetidae,Conductivity,1981.0,71.0,80.65,208.0,526.43,acute,0.0
176,DS8/23,Baetidae,Conductivity,594.0,71.0,80.65,208.0,526.43,acute,0.0
177,DS9/23,Baetidae,Conductivity,737.75,71.0,80.65,208.0,526.43,acute,0.0
178,M1/18,Baetidae,Conductivity,137.0,71.0,80.65,208.0,526.43,acute,1.0
179,M2/18,Baetidae,Conductivity,126.0,71.0,80.65,208.0,526.43,acute,1.0
180,M3/18,Baetidae,Conductivity,119.6,71.0,80.65,208.0,526.43,acute,1.0
181,M4/18,Baetidae,Conductivity,126.0,71.0,80.65,208.0,526.43,acute,1.0
182,M5/18,Baetidae,Conductivity,88.0,71.0,80.65,208.0,526.43,acute,1.0
183,M6/18,Baetidae,Conductivity,134.25,71.0,80.65,208.0,526.43,acute,1.0
184,Q1/12,Baetidae,Conductivity,200.0,71.0,80.65,208.0,526.43,acute,1.0
185,R1/6,Baetidae,Conductivity,36.5,71.0,80.65,208.0,526.43,acute,0.0
186,R10/12,Baetidae,Conductivity,79.0,71.0,80.65,208.0,526.43,acute,0.829015544041
187,R11/12,Baetidae,Conductivity,79.0,71.0,80.65,208.0,526.43,acute,0.829015544041
188,R12/12,Baetidae,Conductivity,77.0,71.0,80.65,208.0,526.43,acute,0.621761658031
189,R13/12,Baetidae,Conductivity,78.0,71.0,80.65,208.0,526.43,acute,0.725388601036
190,R14/12,Baetidae,Conductivity,78.0,71.0,80.65,208.0,526.43,acute,0.725388601036
191,R15/12,Baetidae,Conductivity,79.0,71.0,80.65,208.0,526.43,acute,0.829015544041
192,R16/12,Baetidae,Conductivity,79.6,71.0,80.65,208.0,526.43,acute,0.891191709845
193,R17/12,Baetidae,Conductivity,81.0,71.0,80.65,208.0,526.43,acute,1.0
194,R18/12,Baetidae,Conductivity,77.0,71.0,80.65,208.0,526.43,acute,0.621761658031
195,R19/13,Baetidae,Conductivity,75.0,71.0,80.65,208.0,526.43,acute,0.414507772021
196,R2/6,Baetidae,Conductivity,76.0,71.0,80.65,208.0,526.43,acute,0.518134715026
197,R20/13,Baetidae,Conductivity,73.5,71.0,80.65,208.0,526.43,acute,0.259067357513
198,R21/13,Baetidae,Conductivity,72.0,71.0,80.65,208.0,526.43,acute,0.103626943005
199,R22/13,Baetidae,Conductivity,72.0,71.0,80.65,208.0,526.43,acute,0.103626943005
200,R23/13,Baetidae,Conductivity,71.0,71.0,80.65,208.0,526.43,acute,0.0
201,R24/13,Baetidae,Conductivity,71.0,71.0,80.65,208.0,526.43,acute,0.0
202,R25/13,Baetidae,Conductivity,71.0,71.0,80.65,208.0,526.43,acute,0.0
203,R26/13,Baetidae,Conductivity,71.0,71.0,80.65,208.0,526.43,acute,0.0
204,R27/13,Baetidae,Conductivity,71.0,71.0,80.65,208.0,526.43,acute,0.0
205,R28/13,Baetidae,Conductivity,70.0,71.0,80.65,208.0,526.43,acute,0.0
206,R29/13,Baetidae,Conductivity,72.0,71.0,80.65,208.0,526.43,acute,0.103626943005
207,R3/6,Baetidae,Conductivity,85.0,71.0,80.65,208.0,526.43,acute,1.0
208,R30/13,Baetidae,Conductivity,73.0,71.0,80.65,208.0,526.43,acute,0.20725388601
209,R4/6,Baetidae,Conductivity,83.0,71.0,80.65,208.0,526.43,acute,1.0
210,R5/6,Baetidae,Conductivity,83.0,71.0,80.65,208.0,526.43,acute,1.0
211,R6/6,Baetidae,Conductivity,89.0,71.0,80.65,208.0,526.43,acute,1.0
212,R7/6,Baetidae,Conductivity,109.0,71.0,80.65,208.0,526.43,acute,1.0
213,R8/6,Baetidae,Conductivity,82.0,71.0,80.65,208.0,526.43,acute,1.0
214,R9/6,Baetidae,Conductivity,83.0,71.0,80.65,208.0,526.43,acute,1.0
215,US1/10,Baetidae,Conductivity,119.0,71.0,80.65,208.0,526.43,acute,1.0
216,US10/10,Baetidae,Conductivity,98.0,71.0,80.65,208.0,526.43,acute,1.0
217,US11/11,Baetidae,Conductivity,142.0,71.0,80.65,208.0,526.43,acute,1.0
218,US12/11,Baetidae,Conductivity,173.0,71.0,80.65,208.0,526.43,acute,1.0
219,US13/11,Baetidae,Conductivity,93.0,71.0,80.65,208.0,526.43,acute,1.0
220,US14/11,Baetidae,Conductivity,116.0,71.0,80.65,208.0,526.43,acute,1.0
221,US15/11,Baetidae,Conductivity,724.5,71.0,80.65,208.0,526.43,acute,0.0
222,US16/11,Baetidae,Conductivity,124.67,71.0,80.65,208.0,526.43,acute,1.0
223,US17/11,Baetidae,Conductivity,138.0,71.0,80.65,208.0,526.43,acute,1.0
224,US2/10,Baetidae,Conductivity,133.0,71.0,80.65,208.0,526.43,acute,1.0
225,US3/10,Baetidae,Conductivity,120.0,71.0,80.65,208.0,526.43,acute,1.0
226,US4/10,Baetidae,Conductivity,113.0,71.0,80.65,208.0,526.43,acute,1.0
227,US5/10,Baetidae,Conductivity,145.0,71.0,80.65,208.0,526.43,acute,1.0
228,US6/10,Baetidae,Conductivity,74.0,71.0,80.65,208.0,526.43,acute,0.310880829016
229,US7/10,Baetidae,Conductivity,71.0,71.0,80.65,208.0,526.43,acute,0.0
230,US8/10,Baetidae,Conductivity,97.25,71.0,80.65,208.0,526.43,acute,1.0
231,US9/10,Baetidae,Conductivity,125.0,71.0,80.65,208.0,526.43,acute,1.0
232,V1/19,Baetidae,Conductivity,147.0,71.0,80.65,208.0,526.43,acute,1.0
233,V2/19,Baetidae,Conductivity,130.0,71.0,80.65,208.0,526.43,acute,1.0
234,V3/19,Baetidae,Conductivity,84.0,71.0,80.65,208.0,526.43,acute,1.0
235,V4/19,Baetidae,Conductivity,96.0,71.0,80.65,208.0,526.43,acute,1.0
236,V5/19,Baetidae,Conductivity,191.0,71.0,80.65,208.0,526.43,acute,1.0
237,V6/19,Baetidae,Conductivity,121.0,71.0,80.65,208.0,526.43,acute,1.0
238,V7/19,Baetidae,Conductivity,187.0,71.0,80.65,208.0,526.43,acute,1.0
239,V8/19,Baetidae,Conductivity,122.0,71.0,80.65,208.0,526.43,acute,1.0
240,BB1/9,Baetidae,pH,7.2,6.878,7.18,8.16,8.5055,acute,1.0
241,BB2/9,Baetidae,pH,8.87,6.878,7.18,8.16,8.5055,acute,0.0
242,BB3/9,Baetidae,pH,8.32,6.878,7.18,8.16,8.5055,acute,0.536903039074
243,BB4/9,Baetidae,pH,8.47,6.878,7.18,8.16,8.5055,acute,0.102749638205
244,BH1/17,Baetidae,pH,7.62,6.878,7.18,8.16,8.5055,acute,1.0
245,BH2/17,Baetidae,pH,7.53,6.878,7.18,8.16,8.5055,acute,1.0
246,BH3/17,Baetidae,pH,8.07,6.878,7.18,8.16,8.5055,acute,1.0
247,BH4/17,Baetidae,pH,7.93,6.878,7.18,8.16,8.5055,acute,1.0
248,BH5/17,Baetidae,pH,8.19,6.878,7.18,8.16,8.5055,acute,0.913169319826
249,BH6/26,Baetidae,pH,7.23,6.878,7.18,8.16,8.5055,acute,1.0
250,C1/20,Baetidae,pH,7.54,6.878,7.18,8.16,8.5055,acute,1.0
251,C2/20,Baetidae,pH,7.15,6.878,7.18,8.16,8.5055,acute,0.900662251656
252,C3/20,Baetidae,pH,7.58,6.878,7.18,8.16,8.5055,acute,1.0
253,C4/20,Baetidae,pH,8.22,6.878,7.18,8.16,8.5055,acute,0.826338639653
254,C5/20,Baetidae,pH,8.06,6.878,7.18,8.16,8.5055,acute,1.0
255,C6/20,Baetidae,pH,8.11,6.878,7.18,8.16,8.5055,acute,1.0
256,C7/20,Baetidae,pH,8.12,6.878,7.18,8.16,8.5055,acute,1.0
257,DPR4,Baetidae,pH,7.69,6.878,7.18,8.16,8.5055,acute,1.0
258,DPR5,Baetidae,pH,7.31,6.878,7.18,8.16,8.5055,acute,1.0
259,DS1/4,Baetidae,pH,7.58,6.878,7.18,8.16,8.5055,acute,1.0
260,DS1/5,Baetidae,pH,6.75,6.878,7.18,8.16,8.5055,acute,0.0
261,DS10/23,Baetidae,pH,8.3,6.878,7.18,8.16,8.5055,acute,0.59479015919
262,DS11/23,Baetidae,pH,8.42,6.878,7.18,8.16,8.5055,acute,0.247467438495
263,DS12/23,Baetidae,pH,8.3,6.878,7.18,8.16,8.5055,acute,0.59479015919
264,DS13/23,Baetidae,pH,7.93,6.878,7.18,8.16,8.5055,acute,1.0
265,DS14/24,Baetidae,pH,7.82,6.878,7.18,8.16,8.5055,acute,1.0
266,DS15/24,Baetidae,pH,7.32,6.878,7.18,8.16,8.5055,acute,1.0
267,DS16/24,Baetidae,pH,7.83,6.878,7.18,8.16,8.5055,acute,1.0
268,DS17/24,Baetidae,pH,7.47,6.878,7.18,8.16,8.5055,acute,1.0
269,DS18/24,Baetidae,pH,7.29,6.878,7.18,8.16,8.5055,acute,1.0
270,DS19/24,Baetidae,pH,8.19,6.878,7.18,8.16,8.5055,acute,0.913169319826
271,DS2/4,Baetidae,pH,7.91,6.878,7.18,8.16,8.5055,acute,1.0
272,DS2/5,Baetidae,pH,6.75,6.878,7.18,8.16,8.5055,acute,0.0
273,DS20/24,Baetidae,pH,8.42,6.878,7.18,8.16,8.5055,acute,0.247467438495
274,DS21/24,Baetidae,pH,8.25,6.878,7.18,8.16,8.5055,acute,0.739507959479
275,DS22/25,Baetidae,pH,7.86,6.878,7.18,8.16,8.5055,acute,1.0
276,DS23/25,Baetidae,pH,8.48,6.878,7.18,8.16,8.5055,acute,0.0738060781476
277,DS24/25,Baetidae,pH,7.58,6.878,7.18,8.16,8.5055,acute,1.0
278,DS25/25,Baetidae,pH,7.96,6.878,7.18,8.16,8.5055,acute,1.0
279,DS26/25,Baetidae,pH,7.84,6.878,7.18,8.16,8.5055,acute,1.0
280,DS27/25,Baetidae,pH,7.7,6.878,7.18,8.16,8.5055,acute,1.0
281,DS28/25,Baetidae,pH,7.54,6.878,7.18,8.16,8.5055,acute,1.0
282,DS29/26,Baetidae,pH,6.86,6.878,7.18,8.16,8.5055,acute,0.0
283,DS3/4,Baetidae,pH,7.36,6.878,7.18,8.16,8.5055,acute,1.0
284,DS3/5,Baetidae,pH,6.56,6.878,7.18,8.16,8.5055,acute,0.0
285,DS30/26,Baetidae,pH,7.76,6.878,7.18,8.16,8.5055,acute,1.0
286,DS31/26,Baetidae,pH,7.18,6.878,7.18,8.16,8.5055,acute,1.0
287,DS32/26,Baetidae,pH,7.03,6.878,7.18,8.16,8.5055,acute,0.503311258278
288,DS33/26,Baetidae,pH,6.85,6.878,7.18,8.16,8.5055,acute,0.0
289,DS4/4,Baetidae,pH,7.18,6.878,7.18,8.16,8.5055,acute,1.0
290,DS4/5,Baetidae,pH,8.2,6.878,7.18,8.16,8.5055,acute,0.884225759768
291,DS5/4,Baetidae,pH,7.2,6.878,7.18,8.16,8.5055,acute,1.0
292,DS5/5,Baetidae,pH,7.07,6.878,7.18,8.16,8.5055,acute,0.635761589404
293,DS6/4,Baetidae,pH,8.67,6.878,7.18,8.16,8.5055,acute,0.0
294,DS6/5,Baetidae,pH,7.52,6.878,7.18,8.16,8.5055,acute,1.0
295,DS7/23,Baetidae,pH,8.53,6.878,7.18,8.16,8.5055,acute,0.0
296,DS8/23,Baetidae,pH,8.37,6.878,7.18,8.16,8.5055,acute,0.392185238784
297,DS9/23,Baetidae,pH,8.31,6.878,7.18,8.16,8.5055,acute,0.565846599132
