,variable,type,low,b1,b2,b3,b4,high,a1,a2,a3,a4,sample,ID,generation
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,,,,,0,86,2
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,86,2
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,86,2
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,,,,,0,86,2
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,86,2
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,,,,,0,86,2
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,,,,,0,86,2
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,86,2
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,5.459034302209766,7.212448515189331,8.12709506400734,8.448244668339477,<GA.substring object at 0x7f0dd875f438>,86,2
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,86,2
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,12.51655426316323,19.411800635642464,33.030900078319846,43.81337815298234,<GA.substring object at 0x7f0de2527240>,86,3
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,,,,,0,86,3
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,,,,,0,86,3
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,86,3
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,86,3
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,,,,,0,86,3
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,86,3
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,,,,,0,86,3
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,,,,,0,86,3
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,86,3
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,5.459034302209766,7.212448515189331,8.12709506400734,8.448244668339477,<GA.substring object at 0x7f0dd875f438>,86,3
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,86,3
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,12.51655426316323,19.411800635642464,33.030900078319846,43.81337815298234,<GA.substring object at 0x7f0de2527240>,86,4
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,,,,,0,86,4
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,,,,,0,86,4
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,86,4
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,86,4
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,,,,,0,86,4
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,86,4
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,,,,,0,86,4
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,,,,,0,86,4
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,86,4
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,5.459034302209766,7.212448515189331,8.12709506400734,8.448244668339477,<GA.substring object at 0x7f0dd875f438>,86,4
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,86,4
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,12.51655426316323,19.411800635642464,33.030900078319846,43.81337815298234,<GA.substring object at 0x7f0de2527240>,86,5
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,,,,,0,86,5
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,,,,,0,86,5
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,86,5
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,86,5
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,,,,,0,86,5
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,86,5
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,,,,,0,86,5
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,,,,,0,86,5
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,86,5
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,5.459034302209766,7.212448515189331,8.12709506400734,8.448244668339477,<GA.substring object at 0x7f0dd875f438>,86,5
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,86,5
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,12.51655426316323,19.411800635642464,33.030900078319846,43.81337815298234,<GA.substring object at 0x7f0de2527240>,86,6
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,,,,,0,86,6
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,,,,,0,86,6
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,86,6
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,86,6
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,,,,,0,86,6
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,86,6
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,,,,,0,86,6
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,,,,,0,86,6
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,86,6
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,5.459034302209766,7.212448515189331,8.12709506400734,8.448244668339477,<GA.substring object at 0x7f0dd875f438>,86,6
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,86,6
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,12.51655426316323,19.411800635642464,33.030900078319846,43.81337815298234,<GA.substring object at 0x7f0de2527240>,86,7
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,,,,,0,86,7
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,,,,,0,86,7
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,86,7
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,86,7
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,,,,,0,86,7
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,86,7
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,,,,,0,86,7
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,,,,,0,86,7
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,86,7
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,5.459034302209766,7.212448515189331,8.12709506400734,8.448244668339477,<GA.substring object at 0x7f0dd875f438>,86,7
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,86,7
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,12.51655426316323,19.411800635642464,33.030900078319846,43.81337815298234,<GA.substring object at 0x7f0de2527240>,86,8
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,,,,,0,86,8
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,,,,,0,86,8
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,86,8
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,86,8
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,,,,,0,86,8
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,86,8
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,,,,,0,86,8
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,,,,,0,86,8
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,86,8
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,5.459034302209766,7.212448515189331,8.12709506400734,8.448244668339477,<GA.substring object at 0x7f0dd875f438>,86,8
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,86,8
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,3.1501856015346643,5.32249861870541,56.429752267469006,69.15830489300438,<GA.substring object at 0x7f0dd87674a8>,490,9
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,1.1989953837562963,2.318467584272806,13.326193691599705,18.590863656940208,<GA.substring object at 0x7f0dd8767550>,490,9
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,1.137529810784148,2.0401363536746584,6.727863683704008,40.07416283828501,<GA.substring object at 0x7f0dd8767630>,490,9
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,490,9
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,490,9
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,3.0,27.027454345870296,217.1534140037736,903.3489217631106,<GA.substring object at 0x7f0de24e9470>,490,9
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,0.028319566813414403,0.07339275576855807,1.2369476412192697,1.2564936450484,<GA.substring object at 0x7f0de24e9240>,490,9
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.2106763859163926,0.24894490656013865,0.6106352460241893,0.7473920646013498,<GA.substring object at 0x7f0de24e9358>,490,9
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,21.42620263107349,24.17415164875325,26.432806601834343,27.355939427564746,<GA.substring object at 0x7f0de24e9780>,490,9
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,490,9
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,490,9
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,490,9
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,4.3638600727837105,5.32249861870541,56.429752267469006,60.02271967008551,<GA.substring object at 0x7f0dd87674a8>,490,10
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,1.1989953837562963,2.318467584272806,13.326193691599705,18.590863656940208,<GA.substring object at 0x7f0dd8767550>,490,10
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,1.137529810784148,2.0401363536746584,6.727863683704008,40.07416283828501,<GA.substring object at 0x7f0dd8767630>,490,10
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,490,10
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,490,10
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,3.0,27.027454345870296,217.1534140037736,903.3489217631106,<GA.substring object at 0x7f0de24e9470>,490,10
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,0.028319566813414403,0.07339275576855807,1.2369476412192697,1.2564936450484,<GA.substring object at 0x7f0de24e9240>,490,10
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.2106763859163926,0.24894490656013865,0.6106352460241893,0.7473920646013498,<GA.substring object at 0x7f0de24e9358>,490,10
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,21.42620263107349,24.17415164875325,26.432806601834343,27.355939427564746,<GA.substring object at 0x7f0de24e9780>,490,10
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,490,10
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,490,10
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,490,10
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,4.3638600727837105,5.32249861870541,56.429752267469006,60.02271967008551,<GA.substring object at 0x7f0dd87674a8>,490,11
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,1.1989953837562963,2.318467584272806,13.326193691599705,18.590863656940208,<GA.substring object at 0x7f0dd8767550>,490,11
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,1.137529810784148,2.0401363536746584,6.727863683704008,40.07416283828501,<GA.substring object at 0x7f0dd8767630>,490,11
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,490,11
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,490,11
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,3.0,27.027454345870296,217.1534140037736,903.3489217631106,<GA.substring object at 0x7f0de24e9470>,490,11
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,0.028319566813414403,0.07339275576855807,1.2369476412192697,1.2564936450484,<GA.substring object at 0x7f0de24e9240>,490,11
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.2106763859163926,0.24894490656013865,0.6106352460241893,0.7473920646013498,<GA.substring object at 0x7f0de24e9358>,490,11
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,21.42620263107349,24.17415164875325,26.432806601834343,27.355939427564746,<GA.substring object at 0x7f0de24e9780>,490,11
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,490,11
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,490,11
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,490,11
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,4.3638600727837105,5.32249861870541,28.74578367869496,60.02271967008551,<GA.substring object at 0x7f0dd87674a8>,634,12
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,1.1989953837562963,2.318467584272806,13.326193691599705,24.04509563619813,<GA.substring object at 0x7f0de253e8d0>,634,12
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,1.137529810784148,2.0165583678009416,9.69968302108526,40.07416283828501,<GA.substring object at 0x7f0de2566be0>,634,12
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,12
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,12
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,3.0,27.027454345870296,201.56015731729354,903.3489217631106,<GA.substring object at 0x7f0de2566208>,634,12
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,12
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.23,0.5428129668716698,0.6198595335532954,0.9411957724701392,<GA.substring object at 0x7f0de25664a8>,634,12
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,21.42620263107349,24.17415164875325,26.432806601834343,27.355939427564746,<GA.substring object at 0x7f0de25667b8>,634,12
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,12
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,12
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,12
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,4.3638600727837105,11.501729893250431,28.74578367869496,60.02271967008551,<GA.substring object at 0x7f0dd87674a8>,634,13
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,1.1989953837562963,2.318467584272806,13.326193691599705,21.48759328414249,<GA.substring object at 0x7f0de253e8d0>,634,13
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,0.6035442249405669,2.0165583678009416,31.776996844590897,40.07416283828501,<GA.substring object at 0x7f0de2566be0>,634,13
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,13
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,13
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,3.0,27.027454345870296,201.56015731729354,903.3489217631106,<GA.substring object at 0x7f0de2566208>,634,13
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,13
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.23,0.5428129668716698,0.6198595335532954,0.9411957724701392,<GA.substring object at 0x7f0de25664a8>,634,13
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,21.42620263107349,24.17415164875325,26.432806601834343,27.355939427564746,<GA.substring object at 0x7f0de25667b8>,634,13
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,13
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,13
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,13
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,3.3902524441092314,11.501729893250431,22.738660640623415,44.17658262553815,<GA.substring object at 0x7f0dd87674a8>,634,14
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,1.1989953837562963,2.318467584272806,14.575439957753332,21.48759328414249,<GA.substring object at 0x7f0de253e8d0>,634,14
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,0.6035442249405669,2.0165583678009416,19.908395056057465,40.07416283828501,<GA.substring object at 0x7f0de2566be0>,634,14
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,14
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,14
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,25.716960106503688,27.027454345870296,201.56015731729354,903.3489217631106,<GA.substring object at 0x7f0de2566208>,634,14
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,14
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.23,0.5428129668716698,0.6198595335532954,0.9411957724701392,<GA.substring object at 0x7f0de25664a8>,634,14
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,21.42620263107349,24.17415164875325,26.432806601834343,27.355939427564746,<GA.substring object at 0x7f0de25667b8>,634,14
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,14
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,14
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,14
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,3.3902524441092314,10.800494438012528,14.126170030112036,44.17658262553815,<GA.substring object at 0x7f0dd87674a8>,634,15
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,1.1989953837562963,13.77226544123581,15.03949958177797,15.49071623516896,<GA.substring object at 0x7f0de253e8d0>,634,15
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,0.29576021377221595,2.0165583678009416,19.908395056057465,53.316464219543064,<GA.substring object at 0x7f0de2566be0>,634,15
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,15
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,15
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,25.716960106503688,27.027454345870296,201.56015731729354,903.3489217631106,<GA.substring object at 0x7f0de2566208>,634,15
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,15
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.1944036906486388,0.5428129668716698,0.6198595335532954,0.9411957724701392,<GA.substring object at 0x7f0de25664a8>,634,15
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,21.42620263107349,24.17415164875325,26.432806601834343,32.02087575890613,<GA.substring object at 0x7f0de25667b8>,634,15
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,15
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,15
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,15
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,3.0571543354167714,10.695976921872337,14.126170030112036,72.42560162466614,<GA.substring object at 0x7f0dd87674a8>,634,16
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,4.63326094137412,9.923635856146515,15.03949958177797,17.93875297234046,<GA.substring object at 0x7f0de253e8d0>,634,16
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,0.29576021377221595,8.425949529437725,39.31908202844354,41.361830060225955,<GA.substring object at 0x7f0de2566be0>,634,16
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,16
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,16
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,80.01991719924868,103.20834208089708,755.6594919952552,903.3489217631106,<GA.substring object at 0x7f0de2566208>,634,16
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,16
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.15603502834228208,0.5428129668716698,0.6198595335532954,1.1902544638115526,<GA.substring object at 0x7f0de25664a8>,634,16
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,21.42620263107349,21.759501573576067,26.432806601834343,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,16
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,16
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,16
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,16
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,3.4286987402319142,6.4202282134549815,12.246988483892041,36.57269913930459,<GA.substring object at 0x7f0dd87674a8>,634,17
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,2.464335066868875,14.285292920536655,16.9937836135193,20.023351576323783,<GA.substring object at 0x7f0de253e8d0>,634,17
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,0.29576021377221595,8.425949529437725,39.31908202844354,41.361830060225955,<GA.substring object at 0x7f0de2566be0>,634,17
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,17
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,17
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,80.01991719924868,103.20834208089708,755.6594919952552,903.3489217631106,<GA.substring object at 0x7f0de2566208>,634,17
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,17
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.15603502834228208,0.5428129668716698,0.6483203603703063,1.1902544638115526,<GA.substring object at 0x7f0de25664a8>,634,17
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,21.42620263107349,21.759501573576067,26.432806601834343,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,17
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,17
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,17
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,17
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,4.564627459922985,6.4202282134549815,12.298525627749406,36.57269913930459,<GA.substring object at 0x7f0dd87674a8>,634,18
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,4.395825187885982,11.452583552001546,24.112770905842073,36.07369499762025,<GA.substring object at 0x7f0de253e8d0>,634,18
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,0.29576021377221595,8.425949529437725,39.31908202844354,41.361830060225955,<GA.substring object at 0x7f0de2566be0>,634,18
